iter	Logloss
0	0.6298213333
1	0.5847267055
2	0.5511565294
3	0.5153724884
4	0.4922916767
5	0.4755269384
6	0.4635708782
7	0.4534858384
8	0.4458246758
9	0.4349227249
10	0.4273176694
11	0.4225415651
12	0.4179618275
13	0.4133590392
14	0.4104194668
15	0.406751696
16	0.4042249665
17	0.4020336708
18	0.3997017255
19	0.3977255964
20	0.3958504535
21	0.3937596232
22	0.3915549779
23	0.3902123919
24	0.3891827823
25	0.3881352171
26	0.3866138447
27	0.3856237344
28	0.3841439911
29	0.3828378079
30	0.3816669883
31	0.3809324832
32	0.3796271641
33	0.3788682672
34	0.3778396931
35	0.3768711233
36	0.3763443966
37	0.3753722675
38	0.3748780766
39	0.374133254
40	0.3731661485
41	0.3724595732
42	0.3717242249
43	0.3707638535
44	0.3700870057
45	0.3692107846
46	0.3683916052
47	0.3673043566
48	0.3669529262
49	0.3664731187
