iter	Passed	Remaining
0	4	197
1	8	208
2	12	193
3	15	182
4	19	173
5	24	178
6	28	176
7	33	178
8	38	176
9	43	172
10	47	167
11	50	160
12	55	157
13	58	151
14	62	146
15	66	141
16	70	136
17	73	131
18	77	126
19	80	121
20	84	117
21	88	112
22	92	108
23	95	103
24	100	100
25	104	96
26	109	93
27	113	89
28	117	85
29	132	88
30	135	83
31	139	78
32	143	73
33	147	69
34	151	64
35	155	60
36	159	56
37	178	56
38	182	51
39	186	46
40	189	41
41	193	36
42	196	31
43	199	27
44	203	22
45	207	18
46	211	13
47	214	8
48	218	4
49	222	0
